종목명,티커
피앤에스미캐닉스,460940.KS
아이비젼웍스,469750.KS
티라유텍,322180.KS
위더스제약,330350.KS
스톤브릿지벤처스,330730.KS
포커스에이치엔에스,331380.KS
일승,333430.KS
웨이버스,336060.KS
아이비김영,339950.KS
유일에너테크,340930.KS
센코,347000.KS
라이프시맨틱스,347700.KS
피엔케이피부임상연구센타,347740.KS
위드텍,348350.KS
이삭엔지니어링,351330.KS
스톰테크,352090.KS
씨앤투스,352700.KS
오비고,352910.KS
오토앤,353590.KS
코스텍시스,355150.KS
아모센스,357580.KS
씨엔알리서치,359090.KS
알비더블유,361570.KS
진시스템,363250.KS
큐라클,365270.KS
아이씨에이치,368600.KS
블리츠웨이스튜디오,369370.KS
엑셀세라퓨틱스,373110.KS
린드먼아시아,277070.KS
에스퓨얼셀,288620.KS
SV인베스트먼트,289080.KS
트윔,290090.KS
대유,290380.KS
나우IB,293580.KS
레몬,294140.KS
서남,294630.KS
라온피플,300120.KS
바이브컴퍼니,301300.KS
리메드,302550.KS
이노뎁,303530.KS
피플바이오,304840.KS
에스제이그룹,306040.KS
네온테크,306620.KS
아이엘사이언스,307180.KS
씨유테크,376290.KS
원티드랩,376980.KS
이지트로닉스,377330.KS
위니아에이드,377460.KS
옵티코어,380540.KS
지니너스,389030.KS
나라셀라,405920.KS
뷰티스킨,406820.KS
레이저쎌,412350.KS
비아이매트릭스,413640.KS
스튜디오삼익,415380.KS
핑거스토리,417180.KS
오브젠,417860.KS
시큐레터,418250.KS
산돌,419120.KS
비스토스,419540.KS
벨로크,424760.KS
마이크로투나노,424980.KS
시지트로닉스,429270.KS
케이쓰리아이,431190.KS
모니터랩,434480.KS
하나금융25호스팩,435620.KS
버넥트,438700.KS
삼성스팩7호,439250.KS
HB인베스트먼트,440290.KS
오픈놀,440320.KS
삼성스팩8호,448740.KS
유안타제13호스팩,449020.KS
인스웨이브시스템즈,450520.KS
엔에이치스팩29호,451700.KS
캡스톤파트너스,452300.KS
신한제11호스팩,452980.KS
KB제27호스팩,464680.KS
삼성스팩9호,468510.KS
코퍼스코리아,322780.KS
다원넥스뷰,323350.KS
RF머트리얼즈,327260.KS
솔트웨어,328380.KS
밸로프,331520.KS
셀레믹스,331920.KS
누보,332290.KS
아이디피,332370.KS
모코엠시스,333050.KS
프리시젼바이오,335810.KS
윙스풋,335870.KS
세림B&G,340440.KS
씨유박스,340810.KS
이노진,344860.KS
핌스,347770.KS
알체라,347860.KS
모비릭스,348030.KS
큐라티스,348080.KS
에스에이티이엔지,351320.KS
클리노믹스,352770.KS
인바이오,352940.KS
휴럼,353190.KS
엔젠바이오,354200.KS
크라우드웍스,355390.KS
에이텀,355690.KS
싸이버원,356890.KS
비트나인,357880.KS
코셈,360350.KS
삼영에스앤씨,361670.KS
드림인사이트,362990.KS
모비데이즈,363260.KS
브이씨,365900.KS
플래티어,367000.KS
오에스피,368970.KS
아이티아이즈,372800.KS
엠아이큐브솔루션,373170.KS
엑스플러스,373200.KS
피코그램,376180.KS
인산가,277410.KS
미디어젠,279600.KS
진영,285800.KS
나노브릭,286750.KS
모아데이타,288980.KS
아이스크림에듀,289010.KS
DH오토리드,290120.KS
휴네시온,290270.KS
신도기연,290520.KS
신시웨이,290560.KS
네오펙트,290660.KS
푸드나무,290720.KS
액트로,290740.KS
압타머사이언스,291650.KS
핀텔,291810.KS
이노룰스,296640.KS
알로이스,297570.KS
에스씨엠생명과학,298060.KS
더블유에스아이,299170.KS
애닉,299910.KS
지니틱스,303030.KS
프로티아,303360.KS
원바이오젠,307280.KS
까스텔바작,308100.KS
오하임앤컴퍼니,309930.KS
디와이씨,310870.KS
에이에프더블류,312610.KS
알피바이오,314140.KS
라닉스,317120.KS
TS트릴리온,317240.KS
캐리소프트,317530.KS
KBG,318000.KS
팜스빌,318010.KS
포인트모바일,318020.KS
셀바이오휴먼텍,318160.KS
비비씨,318410.KS
퀀텀온,227100.KS
엔투텍,227950.KS
동양파일,228340.KS
젠큐릭스,229000.KS
비유테크놀러지,230980.KS
시큐센,232830.KS
피앤씨테크,237750.KS
얼라인드,238120.KS
비피도,238200.KS
힘스,238490.KS
이스트에이드,239340.KS
유진테크놀로지,240600.KS
나무기술,242040.KS
에스엘에스바이오,246250.KS
TS인베스트먼트,246690.KS
나노씨엠에스,247660.KS
예선테크,250930.KS
세화피앤씨,252500.KS
케일럼,258610.KS
소프트캠프,258790.KS
세종메디칼,258830.KS
아이퀘스트,262840.KS
디케이앤디,263020.KS
유에스티,263770.KS
상신전자,263810.KS
휴엠앤씨,263920.KS
배럴,267790.KS
와이즈버즈,273060.KS
이노시뮬레이션,274400.KS
에스에스알,275630.KS
스코넥,276040.KS
제주맥주,276730.KS
휴림네트웍스,192410.KS
링크드,193250.KS
마니커에프앤지,195500.KS
코아시아씨엠,196450.KS
디에이테크놀로지,196490.KS
웹스,196700.KS
디지캡,197140.KS
한주라이트메탈,198940.KS
바이오인프라,199730.KS
비씨월드제약,200780.KS
유니온커뮤니티,203450.KS
그리티,204020.KS
스튜디오산타클로스,204630.KS
지란지교시큐리티,208350.KS
썸에이지,208640.KS
바이오로그디바이스,208710.KS
엔지스테크널러지,208860.KS
에스엘에너지,214310.KS
우정바이오,215380.KS
토박스코리아,215480.KS
이노인스트루먼트,215790.KS
에스디생명공학,217480.KS
디딤이앤에프,217620.KS
링크제니시스,219420.KS
디와이디,219550.KS
유투바이오,221800.KS
하이즈항공,221840.KS
케이디켐,221980.KS
팬젠,222110.KS
쎄노텍,222420.KS
한국맥널티,222980.KS
딥마인드,223310.KS
더코디,224060.KS
케이엠제약,225430.KS
패션플랫폼,225590.KS
티엔엔터테인먼트,131100.KS
딜리,131180.KS
대한과학,131220.KS
파인텍,131760.KS
메가엠디,133750.KS
이퓨쳐,134060.KS
탑코미디어,134580.KS
나래나노텍,137080.KS
넥스트아이,137940.KS
신진에스엠,138070.KS
협진,138360.KS
BF랩스,139050.KS
키네마스터,139670.KS
대창스틸,140520.KS
영우디에스피,143540.KS
율촌,146060.KS
피엠티,147760.KS
알엔투테크놀로지,148250.KS
비큐AI,148780.KS
에이치와이티씨,148930.KS
네이블,153460.KS
우리이앤엘,153490.KS
아시아종묘,154030.KS
다산솔루에타,154040.KS
스킨앤스킨,159910.KS
내츄럴엔도텍,168330.KS
엠브레인,169330.KS
에프엔씨엔터,173940.KS
베셀,177350.KS
파버나인,177830.KS
애드바이오텍,179530.KS
SGA솔루션즈,184230.KS
디티앤씨,187220.KS
신화콘텍,187270.KS
나노,187790.KS
세니젠,188260.KS
씨이랩,189330.KS
서전기전,189860.KS
코리아에셋투자증권,190650.KS
육일씨엔에쓰,191410.KS
윈하이텍,192390.KS
서암기계공업,100660.KS
아이엠,101390.KS
엔시트론,101400.KS
한국정밀기계,101680.KS
에스앤더블류,103230.KS
대성파인텍,104040.KS
NHN벅스,104200.KS
옵티시스,109080.KS
전진바이오팜,110020.KS
KH 미래물산,111870.KS
디젠스,113810.KS
그린생명과학,114450.KS
폴라리스우노,114630.KS
씨유메디칼,115480.KS
씨엔플러스,115530.KS
스타플렉스,115570.KS
이미지스,115610.KS
알파홀딩스,117670.KS
포메탈,119500.KS
코이즈,121850.KS
에스디시스템,121890.KS
서진오토모티브,122690.KS
아이윈플러스,123010.KS
알톤,123750.KS
화신정공,126640.KS
아시아경제,127710.KS
에코캡,128540.KS
GH신소재,130500.KS
티피씨글로벌,130740.KS
시큐브,131090.KS
서산,079650.KS
인베니아,079950.KS
이상네트웍스,080010.KS
성창오토텍,080470.KS
오디텍,080520.KS
한국유니온제약,080720.KS
코스나인,082660.KS
이엠앤아이,083470.KS
케이엠,083550.KS
인콘,083640.KS
CSA 코스믹,083660.KS
유비온,084440.KS
알티캐스트,085810.KS
네오티스,085910.KS
진바이오텍,086060.KS
쏘닉스,088280.KS
이원컴포텍,088290.KS
동우팜투테이블,088910.KS
넥스턴바이오,089140.KS
케이씨티,089150.KS
THE E&M,089230.KS
제이티,089790.KS
아이윈,090150.KS
S&K폴리텍,091340.KS
남화토건,091590.KS
나노캠텍,091970.KS
현우산업,092300.KS
앤씨앤,092600.KS
풍강,093380.KS
네오리진,094860.KS
푸른기술,094940.KS
에스에너지,095910.KS
알에프세미,096610.KS
에이루트,096690.KS
효성오앤비,097870.KS
마이크로컨텍솔,098120.KS
에스티오,098660.KS
브레인즈컴퍼니,099390.KS
동방선기,099410.KS
국일신동,060480.KS
에스에이티,060540.KS
DGP,060900.KS
이엘피,063760.KS
테크엘,064520.KS
지엔코,065060.KS
비엘팜텍,065170.KS
위세아이텍,065370.KS
에스아이리소스,065420.KS
이루온,065440.KS
오리엔트정공,065500.KS
삼영이엔씨,065570.KS
CS,065770.KS
체리부로,066360.KS
와이오엠,066430.KS
디에이피,066900.KS
이씨에스,067010.KS
오텍,067170.KS
로지시스,067730.KS
세진티에스,067770.KS
이글루,067920.KS
케이웨더,068100.KS
셀피글로벌,068940.KS
엔텔스,069410.KS
엑시온그룹,069920.KS
엑스큐어,070300.KS
위니아,071460.KS
캐스텍코리아,071850.KS
제넨바이오,072520.KS
빛샘전자,072950.KS
듀오백,073190.KS
플랜티넷,075130.KS
동국알앤에스,075970.KS
웰크론한텍,076080.KS
해성옵틱스,076610.KS
휴림에이텍,078590.KS
와토스코리아,079000.KS
한창산업,079170.KS
케스피온,079190.KS
대동스틸,048470.KS
TPC,048770.KS
엔피케이,048830.KS
SGA,049470.KS
재영솔루텍,049630.KS
승일,049830.KS
ES큐브,050120.KS
에스폴리텍,050760.KS
아세아텍,050860.KS
피씨디렉트,051380.KS
YW,051390.KS
큐로홀딩스,051780.KS
아이크래프트,052460.KS
한네트,052600.KS
아모텍,052710.KS
아이앤씨,052860.KS
KX하이텍,052900.KS
태양,053620.KS
경남제약,053950.KS
삼진엘앤디,054090.KS
메디콕스,054180.KS
비츠로시스,054220.KS
팬스타엔터프라이즈,054300.KS
케이피티유,054410.KS
삼영엠텍,054540.KS
엑사이엔씨,054940.KS
코위버,056360.KS
신화인터텍,056700.KS
옴니시스템,057540.KS
멕아이씨에스,058110.KS
한주에이알티,058450.KS
아이컴포넌트,059100.KS
소니드,060230.KS
스타코링크,060240.KS
동양에스텍,060380.KS
우리엔터프라이즈,037400.KS
쎄니트,037760.KS
MIT,038340.KS
케이바이오,038530.KS
위즈코프,038620.KS
파인디지털,038950.KS
현대에이치티,039010.KS
인포뱅크,039290.KS
세중,039310.KS
한국정보공학,039740.KS
누리플렉스,040160.KS
SG&G,040610.KS
케이피엠테크,042040.KS
상지건설,042940.KS
더테크놀로지,043090.KS
알파녹스,043100.KS
파루,043200.KS
에쎈테크,043340.KS
디지아이,043360.KS
웰킵스하이텍,043590.KS
서울리거,043710.KS
빌리언스,044480.KS
에이치케이,044780.KS
오공,045060.KS
성우테크론,045300.KS
토탈소프트,045340.KS
정원엔시스,045510.KS
크린앤사이언스,045520.KS
백금T&A,046310.KS
우원개발,046940.KS
우리로,046970.KS
한빛소프트,047080.KS
한국큐빅,021650.KS
메이슨캐피탈,021880.KS
TKG애강,022220.KS
플레이위드,023770.KS
동일철강,023790.KS
KB오토시스,024120.KS
세원물산,024830.KS
PN풍년,024940.KS
삼천리자전거,024950.KS
DH오토웨어,025440.KS
신라에스지,025870.KS
케이씨피드,025880.KS
제이에스티나,026040.KS
서울전자통신,027040.KS
휴맥스홀딩스,028080.KS
아이즈비전,031310.KS
오스템,031510.KS
아즈텍WB,032080.KS
삼일,032280.KS
피델릭스,032580.KS
소프트센,032680.KS
삼진,032750.KS
판타지오,032800.KS
동일기연,032960.KS
바이온,032980.KS
제이엠아이,033050.KS
모아텍,033200.KS
조아제약,034940.KS
프럼파스트,035200.KS
골드앤에스,035290.KS
기산텔레콤,035460.KS
바른손이앤에이,035620.KS
예림당,036000.KS
클라우드에어,036170.KS
지더블유바이텍,036180.KS
대성미생물,036480.KS
코맥스,036690.KS
파워넷,037030.KS
신라섬유,001000.KS
무림SP,001810.KS
이화공영,001840.KS
삼일기업공사,002290.KS
한탑,002680.KS
대주산업,003310.KS
한국가구,004590.KS
푸드웰,005670.KS
모헨즈,006920.KS
와이엠,007530.KS
한일화학,007770.KS
원풍물산,008290.KS
부스타,008470.KS
삼보산업,009620.KS
이렘,009730.KS
쌍용정보통신,010280.KS
뉴인텍,012340.KS
원일특강,012620.KS
CBI,013720.KS
메디앙스,014100.KS
고려제약,014570.KS
리더스코스메틱,016100.KS
SGC E&C,016250.KS
큐캐피탈,016600.KS
디모아,016670.KS
카스,016920.KS
신원종합개발,017000.KS
인터엠,017250.KS
우진비앤지,018620.KS
서울제약,018680.KS
바른손,018700.KS
일지테크,019540.KS
플루토스,019570.KS
글로본,019660.KS
서연탑메탈,019770.KS
대신정보통신,020180.KS
대동금속,020400.KS
대호특수강,021040.KS
하나28호스팩,454750.KS
KB제25호스팩,455250.KS
한화플러스제4호스팩,455310.KS
에스케이증권제9호스팩,455910.KS
DB금융스팩11호,456440.KS
교보14호스팩,456490.KS
대신밸런스제15호스팩,457390.KS
대신밸런스제16호스팩,457630.KS
에스케이증권제10호스팩,457940.KS
KB제26호스팩,458320.KS
한국제12호스팩,458610.KS
에이치엠씨제6호스팩,462020.KS
한국제13호스팩,464440.KS
교보15호스팩,465320.KS
엔에이치스팩30호,466910.KS
IBKS제23호스팩,467930.KS
유진스팩10호,468760.KS
IBKS제24호스팩,469480.KS
하나30호스팩,469880.KS
하나31호스팩,469900.KS
대신밸런스제17호스팩,471050.KS
신영스팩10호,472220.KS
에스케이증권제11호스팩,472230.KS
에스케이증권제12호스팩,473000.KS
유안타제15호스팩,473050.KS
비엔케이제2호스팩,473370.KS
에스케이증권제13호스팩,473950.KS
유안타제16호스팩,474490.KS
신한제12호스팩,474660.KS
신한제13호스팩,474930.KS
하나32호스팩,475240.KS
하나33호스팩,475250.KS
KB제28호스팩,476470.KS
에이치엠씨제7호스팩,477340.KS
미래에셋비전스팩4호,477380.KS
미래에셋비전스팩5호,477470.KS
한국제14호스팩,477530.KS
DB금융스팩12호,477760.KS
이베스트스팩6호,478110.KS
KB제29호스팩,478390.KS
미래에셋비전스팩6호,478440.KS
대신밸런스제18호스팩,478780.KS
한국제15호스팩,479880.KS
엔에이치스팩31호,481890.KS
교보16호스팩,482520.KS
미래에셋비전스팩7호,482680.KS
KB제30호스팩,486630.KS
형지I&C,011080.KS
CNH,023460.KS
광진실업,026910.KS
드래곤플라이,030350.KS
에스유홀딩스,031860.KS
KD,044180.KS
비케이홀딩스,050090.KS
세동,053060.KS
에이디칩스,054630.KS
뉴보텍,060260.KS
피피아이,062970.KS
대산F&B,065150.KS
파커스,065690.KS
누리플랜,069140.KS
유아이디,069330.KS
한솔인티큐브,070590.KS
에프알텍,073540.KS
투비소프트,079970.KS
엘디티,096870.KS
파인테크닉스,106240.KS
노블엠앤비,106520.KS
장원테크,174880.KS
올리패스,244460.KS
엠에프엠코리아,323230.KS
하나금융21호스팩,406760.KS
미래에셋비전스팩1호,412930.KS
키움제6호스팩,413600.KS
상상인제3호스팩,415580.KS
하나금융22호스팩,418170.KS
신한제10호스팩,418210.KS
교보12호스팩,421800.KS
엔에이치스팩23호,422040.KS
케이비제21호스팩,424140.KS
삼성스팩6호,425290.KS
신영스팩8호,430220.KS
한화플러스제3호스팩,430460.KS
유안타제9호스팩,430700.KS
키움제7호스팩,433530.KS
유안타제10호스팩,435380.KS
에스케이증권제8호스팩,435870.KS
엔에이치스팩24호,437780.KS
대신밸런스제13호스팩,438220.KS
엔에이치스팩25호,438580.KS
엔에이치스팩26호,439410.KS
IBKS제20호스팩,439730.KS
교보13호스팩,440790.KS
엔에이치스팩27호,440820.KS
유진스팩9호,442130.KS
대신밸런스제14호스팩,442310.KS
IBKS제21호스팩,442770.KS
유안타제11호스팩,444920.KS
비엔케이제1호스팩,445360.KS
신영스팩9호,445970.KS
유안타제12호스팩,446150.KS
미래에셋비전스팩2호,446190.KS
하나26호스팩,446750.KS
키움제8호스팩,446840.KS
하나27호스팩,448370.KS
IBKS제22호스팩,448760.KS
미래에셋비전스팩3호,448830.KS
하이제8호스팩,450050.KS
유안타제14호스팩,450940.KS
상상인제4호스팩,452670.KS
하나29호스팩,454640.KS
