종목명,티커
HLB이노베이션,024850.KS
신성에스티,416180.KS
삼현,437730.KS
블루엠텍,439580.KS
아이엠비디엑스,461030.KS
하나기술,299030.KS
마이크로디지탈,305090.KS
뉴로메카,348340.KS
석경에이티,357550.KS
리파인,377450.KS
원준,382840.KS
넵튠,217270.KS
셀리버리,268600.KS
인트로메딕,150840.KS
KG에코솔루션,151860.KS
앱클론,174900.KS
엠아이텍,179290.KS
인카금융서비스,211050.KS
뷰웍스,100120.KS
미래에셋벤처투자,100790.KS
로보티즈,108490.KS
비덴트,121800.KS
하이비젼시스템,126700.KS
제넥신,095700.KS
제이브이엠,054950.KS
인선이엔티,060150.KS
로체시스템즈,071280.KS
KG이니시스,035600.KS
폴라리스오피스,041020.KS
시너지이노베이션,048870.KS
쏠리드,050890.KS
인터플렉스,051370.KS
유진기업,023410.KS
제일엠앤에스,412540.KS
동원개발,013120.KS
아주IB투자,027360.KS
광무,029480.KS
해성산업,034810.KS
대명에너지,389260.KS
인벤티지랩,389470.KS
넥스트칩,396270.KS
나노팀,417010.KS
티이엠씨,425040.KS
파인엠텍,441270.KS
에코아이,448280.KS
이엔셀,456070.KS
위지윅스튜디오,299900.KS
솔트룩스,304100.KS
국전약품,307750.KS
아티스트유나이티드,321820.KS
제이엘케이,322510.KS
알멕,354320.KS
풍원정밀,371950.KS
녹십자웰빙,234690.KS
미래반도체,254490.KS
SG,255220.KS
디앤씨미디어,263720.KS
브릿지바이오테라퓨틱스,288330.KS
뉴파워프라즈마,144960.KS
세경하이테크,148150.KS
제일일렉트릭,199820.KS
에이디테크놀로지,200710.KS
에이비온,203400.KS
글로벌텍스프리,204620.KS
파멥신,208340.KS
아이쓰리시스템,214430.KS
디알텍,214680.KS
이트론,096040.KS
인화정공,101930.KS
코오롱생명과학,102940.KS
한솔아이원스,114810.KS
엠에스오토텍,123040.KS
아나패스,123860.KS
비나텍,126340.KS
BGF에코머티리얼즈,126600.KS
HB테크놀러지,078150.KS
우리바이오,082850.KS
비에이치아이,083650.KS
아바코,083930.KS
랩지노믹스,084650.KS
이수앱지스,086890.KS
쇼박스,086980.KS
브이엠,089970.KS
로보스타,090360.KS
아미코젠,092040.KS
코나아이,052400.KS
케이엔솔,053080.KS
텔레칩스,054450.KS
유진로봇,056080.KS
푸른소나무,057880.KS
KH바텍,060720.KS
인크레더블버즈,064090.KS
다날,064260.KS
아스트,067390.KS
덕산하이메탈,077360.KS
LS증권,078020.KS
대봉엘에스,078140.KS
케이티알파,036030.KS
유니셈,036200.KS
디오,039840.KS
피에이치에이,043370.KS
CJ프레시웨이,051500.KS
이지홀딩스,035810.KS
오상헬스케어,036220.KS
나이스정보통신,036800.KS
진성티이씨,036890.KS
마크로젠,038290.KS
폴라리스AI,039980.KS
비츠로테크,042370.KS
네오위즈홀딩스,042420.KS
새로닉스,042600.KS
대아티아이,045390.KS
KG모빌리언스,046440.KS
파워로직스,047310.KS
인트론바이오,048530.KS
셀루메드,049180.KS
미래컴퍼니,049950.KS
경동제약,011040.KS
현대사료,016790.KS
한국알콜,017890.KS
와이지-원,019210.KS
한국캐피탈,023760.KS
이화전기,024810.KS
동신건설,025950.KS
원익홀딩스,030530.KS
한국파마,032300.KS
유비케어,032620.KS
엠케이전자,033160.KS
네패스,033640.KS
피노,033790.KS
코난테크놀로지,402030.KS
큐알티,405100.KS
티에프이,425420.KS
에스피소프트,443670.KS
한선엔지니어링,452280.KS
그리드위즈,453450.KS
씨어스테크놀로지,458870.KS
아이스크림미디어,461300.KS
이노스페이스,462350.KS
압타바이오,293780.KS
에이치브이엠,295310.KS
와이바이오로직스,338840.KS
차이커뮤니케이션,351870.KS
자람테크놀로지,389020.KS
메드팩토,235980.KS
슈프리마,236200.KS
이랜시스,264850.KS
에브리봇,270660.KS
HLB바이오스텝,278650.KS
코윈테크,282880.KS
자이언트스텝,289220.KS
디케이티,290550.KS
나이벡,138610.KS
사람인,143240.KS
비씨엔씨,146320.KS
아바텍,149950.KS
큐브엔터,182360.KS
엔케이맥스,182400.KS
나무가,190510.KS
노바렉스,194700.KS
휴마시스,205470.KS
덱스터,206560.KS
라파스,214260.KS
크레버스,096240.KS
윈팩,097800.KS
어보브반도체,102120.KS
톱텍,108230.KS
에스와이,109610.KS
와이씨켐,112290.KS
골프존뉴딘홀딩스,121440.KS
와이솔,122990.KS
윈스,136540.KS
메디포스트,078160.KS
한양디지텍,078350.KS
디이엔티,079810.KS
가비아,079940.KS
모두투어,080160.KS
비보존 제약,082800.KS
엘오티베큠,083310.KS
CG인바이츠,083790.KS
유니테스트,086390.KS
나스미디어,089600.KS
서울바이오시스,092190.KS
네오팜,092730.KS
케이알엠,093640.KS
한국정보인증,053300.KS
씨티씨바이오,060590.KS
LB세미콘,061970.KS
한국전자금융,063570.KS
인텍플러스,064290.KS
포니링크,064800.KS
멀티캠퍼스,067280.KS
디지털대성,068930.KS
유비쿼스홀딩스,078070.KS
워트,396470.KS
그린리소스,402490.KS
샌즈랩,411080.KS
이에이트,418620.KS
스마트레이더시스템,424960.KS
케이엔에스,432470.KS
퀄리타스반도체,432720.KS
컨텍,451760.KS
민테크,452200.KS
에이에스텍,453860.KS
우진엔텍,457550.KS
이오플로우,294090.KS
쿠콘,294570.KS
씨에스베어링,297090.KS
더네이쳐홀딩스,298540.KS
애니플러스,310200.KS
퀀타매트릭스,317690.KS
엔바이오니아,317870.KS
티움바이오,321550.KS
오로스테크놀로지,322310.KS
네패스아크,330860.KS
청담글로벌,362320.KS
파이버프로,368770.KS
퓨런티어,370090.KS
제닉스,381620.KS
범한퓨얼셀,382900.KS
싸이토젠,217330.KS
원익피앤이,217820.KS
타이거일렉,219130.KS
켐트로스,220260.KS
LK삼양,225190.KS
보광산업,225530.KS
레이,228670.KS
헥토파이낸셜,234340.KS
티앤알바이오팹,246710.KS
바이오에프디엔씨,251120.KS
와이엠티,251370.KS
지오릿에너지,270520.KS
케이엔제이,272110.KS
티에스아이,277880.KS
노바텍,285490.KS
대보마그네틱,290670.KS
아이디스,143160.KS
엘앤케이바이오,156100.KS
이루다,164060.KS
DXVX,180400.KS
슈피겐코리아,192440.KS
에이비프로바이오,195990.KS
래몽래인,200350.KS
드림시큐리티,203650.KS
AP위성,211270.KS
헥토이노베이션,214180.KS
휴센텍,215090.KS
동국S&C,100130.KS
디와이피엔에프,104460.KS
티케이케미칼,104480.KS
엣지파운드리,105550.KS
하이텍팜,106190.KS
디에스케이,109740.KS
크리스에프앤씨,110790.KS
큐리언트,115180.KS
티로보틱스,117730.KS
KX,122450.KS
제닉,123330.KS
코리아에프티,123410.KS
아이티센,124500.KS
알서포트,131370.KS
이브이첨단소재,131400.KS
퀀타피아,078940.KS
동양이엔피,079960.KS
모다이노칩,080420.KS
헬릭스미스,084990.KS
뉴프렉스,085670.KS
선진뷰티사이언스,086710.KS
코세스,089890.KS
휴림로봇,090710.KS
상신이디피,091580.KS
이크레더블,092130.KS
엑시콘,092870.KS
매커스,093520.KS
일진파워,094820.KS
현대바이오랜드,052260.KS
오성첨단소재,052420.KS
이랜텍,054210.KS
엠게임,058630.KS
