Date,019570.KS,021080.KS,027830.KS,028080.KS,036000.KS,038460.KS,039020.KS,039310.KS,039560.KS,041440.KS,043610.KS,050110.KS,053280.KS,053450.KS,057030.KS,067310.KS,070300.KS,079940.KS,088800.KS,090710.KS,099440.KS,109670.KS,115180.KS,115610.KS,127120.KS,149950.KS,205100.KS,207760.KS,220100.KS,226400.KS,226950.KS,255220.KS,256630.KS,290090.KS,291650.KS,293780.KS,298380.KS,304840.KS,307930.KS,314130.KS,315640.KS,317530.KS,317770.KS,319400.KS,399720.KS,403870.KS,418470.KS,424960.KS,445680.KS
2024-11-12 00:00:00+00:00,337.0,2730.0,1491.0,2970.0,2385.0,3310.0,3560.0,1653.0,3745.0,9600.0,2120.0,1007.0,5320.0,5190.0,3560.0,9750.0,3620.0,12850.0,914.0,1184.0,2880.0,8580.0,4500.0,2975.0,3905.0,9140.0,1719.0,1239.0,21300.0,5680.0,21150.0,3480.0,1253.0,7500.0,1840.0,6650.0,38200.0,4035.0,4990.0,3230.0,5120.0,4180.0,3395.0,2965.0,34450.0,33450.0,13050.0,11650.0,21200.0
2024-11-13 00:00:00+00:00,332.0,2585.0,1401.0,2970.0,2460.0,3150.0,3610.0,1599.0,3475.0,9510.0,2085.0,934.0,5140.0,5110.0,3435.0,9480.0,3575.0,12850.0,879.0,1539.0,3120.0,8420.0,4315.0,2955.0,3720.0,8800.0,1653.0,1200.0,19060.0,5260.0,19800.0,3260.0,1240.0,7500.0,1820.0,6400.0,33900.0,3905.0,4885.0,3050.0,5300.0,3905.0,3010.0,2860.0,35400.0,33250.0,12290.0,10950.0,19750.0
2024-11-14 00:00:00+00:00,332.0,2510.0,1397.0,2965.0,2300.0,3100.0,3610.0,1533.0,3515.0,9480.0,2065.0,930.0,5160.0,5060.0,3425.0,9240.0,3630.0,13480.0,843.0,1571.0,2985.0,8630.0,4200.0,2830.0,3850.0,8620.0,1638.0,1185.0,17770.0,5140.0,21800.0,3020.0,1200.0,7390.0,1792.0,6410.0,33000.0,3835.0,4940.0,2930.0,5490.0,3980.0,3125.0,2850.0,33150.0,32650.0,13430.0,10310.0,19800.0
2024-11-15 00:00:00+00:00,321.0,2370.0,1412.0,3005.0,2345.0,3105.0,3695.0,1582.0,4320.0,10190.0,2100.0,963.0,5040.0,5090.0,3540.0,9700.0,3720.0,14460.0,853.0,1520.0,3120.0,8490.0,4300.0,2570.0,3835.0,9100.0,1679.0,1218.0,18160.0,5130.0,21150.0,3745.0,1184.0,7600.0,2325.0,6310.0,32550.0,3680.0,4910.0,2915.0,5410.0,3970.0,3195.0,2890.0,34350.0,34450.0,13760.0,10400.0,19420.0
2024-11-18 00:00:00+00:00,313.0,2440.0,1423.0,3015.0,2270.0,3220.0,3620.0,1551.0,4160.0,10010.0,2150.0,970.0,5120.0,5260.0,3600.0,9760.0,3415.0,14040.0,851.0,1504.0,3195.0,8470.0,4285.0,2390.0,3740.0,8930.0,1740.0,1242.0,16830.0,4930.0,17550.0,3655.0,1190.0,7940.0,1999.0,6340.0,31500.0,3715.0,5060.0,2920.0,5790.0,4115.0,3150.0,2880.0,34900.0,32850.0,13810.0,11830.0,19190.0
2024-11-19 00:00:00+00:00,308.0,2460.0,1410.0,2930.0,2265.0,3215.0,3655.0,1537.0,3910.0,9600.0,2170.0,989.0,5120.0,5400.0,3635.0,9810.0,3355.0,14050.0,827.0,1617.0,3190.0,8230.0,4375.0,2110.0,3780.0,9020.0,1827.0,1242.0,16190.0,5030.0,19350.0,3350.0,1186.0,7700.0,1945.0,6230.0,30550.0,3700.0,4995.0,2770.0,6870.0,4100.0,3150.0,2930.0,33950.0,30900.0,13740.0,12020.0,19460.0
