Ticker,Return,Volume Change Rate,Original Ticker
미래아이앤지,-1.274,4.586,007120.KS
인팩,-1.282,29.013,023810.KS
풀무원,-1.284,0.478,017810.KS
LS네트웍스,-1.289,-22.401,000680.KS
신영증권,-1.299,-48.914,001720.KS
유니드비티플러스,-1.3,0.328,446070.KS
NICE평가정보,-1.307,-68.12,030190.KS
STX엔진,-1.319,-14.034,077970.KS
디와이,-1.32,35.985,013570.KS
한국공항,-1.326,-77.035,005430.KS
삼성공조,-1.341,17.449,006660.KS
디씨엠,-1.357,-65.773,024090.KS
진에어,-1.374,-35.039,272450.KS
롯데관광개발,-1.377,-44.181,032350.KS
SUN&L,-1.385,66.557,002820.KS
한화,-1.391,-39.593,000880.KS
범양건영,-1.396,81.118,002410.KS
하이브,-1.4,-51.118,352820.KS
신풍,-1.403,-47.007,002870.KS
이노션,-1.404,-46.824,214320.KS
GKL,-1.405,-27.907,114090.KS
동인기연,-1.408,-79.599,111380.KS
한일현대시멘트,-1.427,-44.314,006390.KS
한국종합기술,-1.43,437.757,023350.KS
태경케미컬,-1.431,-49.021,006890.KS
HS효성첨단소재,-1.447,41.84,298050.KS
성창기업지주,-1.448,14.235,000180.KS
아시아나항공,-1.458,-75.853,020560.KS
스타에스엠리츠,-1.495,105.61,204210.KS
LS ELECTRIC,-1.496,-11.973,010120.KS
한신기계,-1.508,-20.747,011700.KS
삼양홀딩스,-1.509,-5.269,000070.KS
LS에코에너지,-1.515,-42.003,229640.KS
신세계 I&C,-1.515,-44.028,035510.KS
경동인베스트,-1.536,-22.712,012320.KS
GS글로벌,-1.602,13.466,001250.KS
YG PLUS,-1.61,-35.234,037270.KS
DS단석,-1.611,-19.517,017860.KS
일정실업,-1.611,-17.124,008500.KS
고려산업,-1.616,-28.042,002140.KS
동국제강,-1.644,-38.783,460860.KS
세방전지,-1.658,-15.05,004490.KS
해태제과식품,-1.695,58.511,101530.KS
코오롱글로벌,-1.7,-12.582,003070.KS
이수화학,-1.71,12.574,005950.KS
DSR제강,-1.743,14.098,069730.KS
세아제강지주,-1.746,-24.069,003030.KS
OCI홀딩스,-1.76,74.693,010060.KS
유유제약,-1.82,-23.432,000220.KS
현대리바트,-1.856,-13.787,079430.KS
현대비앤지스틸,-1.872,16.931,004560.KS
휠라홀딩스,-1.873,-29.767,081660.KS
엔씨소프트,-1.902,-68.015,036570.KS
광명전기,-1.92,-58.035,017040.KS
우진플라임,-1.927,94.183,049800.KS
와이투솔루션,-1.937,-18.281,011690.KS
롯데이노베이트,-1.948,16.47,286940.KS
효성티앤씨,-1.954,0.99,298020.KS
화승엔터프라이즈,-1.963,-55.745,241590.KS
한섬,-1.965,127.368,020000.KS
한솔케미칼,-1.971,-8.181,014680.KS
오리온,-1.98,-44.817,271560.KS
SK오션플랜트,-1.993,-32.58,100090.KS
TP,-2.017,74.164,007980.KS
유니드,-2.059,-33.284,014830.KS
동국홀딩스,-2.063,-60.614,001230.KS
한국단자,-2.063,-36.453,025540.KS
SK디앤디,-2.079,372.901,210980.KS
가온전선,-2.094,-15.236,000500.KS
CJ씨푸드,-2.121,29.188,011150.KS
후성,-2.131,-29.48,093370.KS
삼화전기,-2.139,1.692,009470.KS
그린케미칼,-2.154,8.828,083420.KS
대호에이엘,-2.162,29.509,069460.KS
신한글로벌액티브리츠,-2.174,106.103,481850.KS
효성화학,-2.217,56.754,298000.KS
메타케어,-2.222,-39.82,118000.KS
팜스코,-2.222,78.645,036580.KS
CJ제일제당,-2.265,-17.903,097950.KS
삼일씨엔에스,-2.265,-87.193,004440.KS
바이오노트,-2.326,-2.383,377740.KS
시프트업,-2.329,237.978,462870.KS
팜젠사이언스,-2.345,73.086,004720.KS
디앤디플랫폼리츠,-2.349,355.76,377190.KS
한국전자홀딩스,-2.353,234.734,006200.KS
빙그레,-2.355,23.723,005180.KS
신세계,-2.369,34.259,004170.KS
HD현대일렉트릭,-2.377,-23.23,267260.KS
현대오토에버,-2.403,93.297,307950.KS
일진다이아,-2.419,77.581,081000.KS
전진건설로봇,-2.42,-11.091,079900.KS
애경산업,-2.436,-24.771,018250.KS
세진중공업,-2.442,-13.815,075580.KS
한국화장품,-2.466,178.499,123690.KS
덕양산업,-2.49,5.718,024900.KS
미래산업,-2.504,-49.39,025560.KS
진양산업,-2.537,340.336,003780.KS
동양피스톤,-2.538,-92.453,092780.KS
잇츠한불,-2.562,-57.083,226320.KS
포스코퓨처엠,-2.569,-24.581,003670.KS
STX,-2.617,-3.0,011810.KS
인디에프,-2.639,76.452,014990.KS
LS,-2.663,6.715,006260.KS
한화오션,-2.681,-45.295,042660.KS
한전산업,-2.727,-1.954,130660.KS
백산,-2.748,40.749,035150.KS
미창석유,-2.764,-36.992,003650.KS
HD한국조선해양,-2.782,-40.985,009540.KS
테이팩스,-2.784,-30.197,055490.KS
한국내화,-2.79,156.713,010040.KS
산일전기,-2.793,14.552,062040.KS
조일알미늄,-2.865,-45.502,018470.KS
HJ중공업,-2.913,25.056,097230.KS
태양금속,-2.922,-69.501,004100.KS
한화솔루션,-2.947,36.052,009830.KS
삼화페인트,-2.987,-27.759,000390.KS
콜마홀딩스,-2.997,-54.184,024720.KS
해성디에스,-3.025,84.034,195870.KS
삼성중공업,-3.045,-26.555,010140.KS
국제약품,-3.052,-53.557,002720.KS
금호석유,-3.057,-24.819,011780.KS
이엔플러스,-3.101,8.523,074610.KS
핸즈코퍼레이션,-3.118,194.188,143210.KS
에쓰씨엔지니어링,-3.155,10.776,023960.KS
신성통상,-3.247,57.926,005390.KS
CJ,-3.286,-43.146,001040.KS
대상홀딩스,-3.307,-47.131,084690.KS
이수페타시스,-3.329,-25.07,007660.KS
한국콜마,-3.352,-4.529,161890.KS
삼아알미늄,-3.407,-45.634,006110.KS
남선알미늄,-3.427,-12.103,008350.KS
포스코DX,-3.483,21.339,022100.KS
KCTC,-3.486,-56.668,009070.KS
HD현대중공업,-3.494,-37.355,329180.KS
대구백화점,-3.497,64.663,006370.KS
한농화성,-3.571,-82.345,011500.KS
한화엔진,-3.574,-20.646,082740.KS
SK아이이테크놀로지,-3.59,-27.646,361610.KS
모나용평,-3.592,-39.695,070960.KS
사조대림,-3.611,45.839,003960.KS
일진전기,-3.62,30.753,103590.KS
에이블씨엔씨,-3.634,79.223,078520.KS
호전실업,-3.643,-20.292,111110.KS
SK이노베이션,-3.659,-55.927,096770.KS
아모레퍼시픽,-3.689,-50.449,090430.KS
현대제철,-3.691,-44.089,004020.KS
LG에너지솔루션,-3.747,-30.483,373220.KS
명문제약,-3.756,21.578,017180.KS
대한전선,-3.807,-20.919,001440.KS
HD현대미포,-3.809,-51.505,010620.KS
형지엘리트,-3.846,-72.928,093240.KS
인지컨트롤스,-3.886,-67.882,023800.KS
동원시스템즈,-3.918,-55.605,014820.KS
백광산업,-3.918,-52.106,001340.KS
코스모신소재,-3.952,21.871,005070.KS
에코프로머티,-4.0,-26.402,450080.KS
다이나믹디자인,-4.031,-60.139,145210.KS
롯데케미칼,-4.049,-24.792,011170.KS
대한유화,-4.082,-31.861,006650.KS
씨에스윈드,-4.206,25.65,112610.KS
솔루스첨단소재,-4.257,-10.845,336370.KS
엘앤에프,-4.299,-2.558,066970.KS
HD현대마린엔진,-4.3,-70.265,071970.KS
동방,-4.364,-46.09,004140.KS
덴티움,-4.364,2.248,145720.KS
코스맥스,-4.507,10.016,192820.KS
교촌에프앤비,-4.584,-33.749,339770.KS
KTcs,-4.814,-88.401,058850.KS
HD현대에너지솔루션,-4.878,161.239,322000.KS
F&F,-5.09,-40.296,383220.KS
롯데웰푸드,-5.186,46.842,280360.KS
금양,-5.244,-39.563,001570.KS
이수스페셜티케미컬,-5.278,-39.289,457190.KS
코스모화학,-5.357,-18.154,005420.KS
사조산업,-5.385,-1.759,007160.KS
하이스틸,-5.39,-14.713,071090.KS
토니모리,-5.537,54.27,214420.KS
현대약품,-5.797,39.777,004310.KS
사조씨푸드,-6.176,43.706,014710.KS
KC코트렐,-6.691,3.498,119650.KS
HLB글로벌,-6.886,130.63,003580.KS
한국화장품제조,-7.47,39.568,003350.KS
보락,-7.602,-86.645,002760.KS
티웨이항공,-7.825,-58.723,091810.KS
성안머티리얼스,-10.103,-25.736,011300.KS
KT&G,-12.575,-8.389,033780.KS
에스엘,,,005850.KS
엔케이,,,085310.KS
조선내화,,,462520.KS
